Index,Region,abbrv,random,Name,PMID,Link,Title
1,Dorsal motor nucleus of the vagus nerve,DMX,1,NA,NA,NA,NA
2,Cuneate nucleus,CU,2,NA,NA,NA,NA
3,Gracile nucleus,GR,3,NA,NA,NA,NA
4,Nucleus of the solitary tract,NST,4,NA,NA,NA,NA
5,Medulla,MY,5,NA,NA,NA,NA
6,"Medullary reticular nucleus, ventral part",MDRNd,7,NA,NA,NA,NA
7,"Medullary reticular nucleus, dorsal part",MDRNv,13,NA,NA,NA,NA
8,Magnocellular reticular nucleus,MARN,8,NA,NA,NA,NA
9,Gigantocellular reticular nucleus,GRN,6,NA,NA,NA,NA
10,"Lateral reticular nucleus, magnocellular part",LRNm,12,NA,NA,NA,NA
11,"Paragigantocellular reticular nucleus, lateral part",PGRNl,10,NA,NA,NA,NA
12,Intermediate reticular nucleus,IRN,9,NA,NA,NA,NA
13,Parvicellular reticular nucleus,PARN,14,NA,NA,NA,NA
14,"Paragigantocellular reticular nucleus, dorsal part",PGRNd,17,NA,NA,NA,NA
15,Nucleus raphe magnus,RM,15,NA,NA,NA,NA
16,Nucleus raphe obscurus,RO,16,NA,NA,NA,NA
17,Facial motor nucleus,VII,11,NA,NA,NA,NA
18,Hypoglossal nucleus,XII,18,NA,NA,NA,NA
19,Nucleus of Roller,NR,19,NA,NA,NA,NA
20,Nucleus prepositus,PRP,20,NA,NA,NA,NA
21,"Spinal nucleus of the trigeminal, interpolar part",SPVI,24,NA,NA,NA,NA
22,"Spinal nucleus of the trigeminal, caudal part",SPVC,25,NA,NA,NA,NA
23,Spinal vestibular nucleus,SPIV,21,NA,NA,NA,NA
24,Medial vestibular nucleus,MV,22,NA,NA,NA,NA
25,Lateral vestibular nucleus,LAV,23,NA,NA,NA,NA
26,"Pontine reticular nucleus, caudal part",PRNc,27,NA,NA,NA,NA
27,Pontine reticular nucleus,PRNr,26,NA,NA,NA,NA
28,"Superior olivary complex, lateral part",SOCl,39,NA,NA,NA,NA
29,"Superior olivary complex, medial part",SOCm,40,NA,NA,NA,NA
30,"Superior olivary complex, periolivary region",POR,41,NA,NA,NA,NA
31,Peritrigeminal zone,P5,28,NA,NA,NA,NA
32,Supratrigeminal nucleus,SUT,38,NA,NA,NA,NA
33,Pontine central gray,PGC,29,NA,NA,NA,NA
34,Sublaterodorsal nucleus,SLD,30,NA,NA,NA,NA
35,Laterodorsal tegmental nucleus,LDT,31,NA,NA,NA,NA
36,Subceruleus nucleus,SLC,32,NA,NA,NA,NA
37,Barrington's nucleus,BA,33,NA,NA,NA,NA
38,Pons,P,34,NA,NA,NA,NA
39,Locus ceruleus,LC,35,NA,NA,NA,NA
40,Parabrachial nucleus,PB,36,NA,NA,NA,NA
41,Pedunculopontine nucleus,PPN,37,"Shik,1966; Lee, 2014; Goetz, 2016; Mori, 1978; Grillner, 2007",PMID: 6000625; PMID: 25033185; PMID: 27147647; PMID: 731291; PMID: 17916382,https://pubmed.ncbi.nlm.nih.gov/6000625/; https://pubmed.ncbi.nlm.nih.gov/25033185/; https://pubmed.ncbi.nlm.nih.gov/27147647/; https://pubmed.ncbi.nlm.nih.gov/731291/; https://pubmed.ncbi.nlm.nih.gov/17916382/,Control of walking and running by means of electric stimulation of the midbrain ; Identification of a brainstem circuit regulating visual cortical state in parallel with locomotion; On the Role of the Pedunculopontine Nucleus and Mesencephalic Reticular Formation in Locomotion in Nonhuman Primates; Controlled locomotion in the mesencephalic cat: distribution of facilitatory and inhibitory regions within pontine tegmentum; Neural bases of goal-directed locomotion in vertebrates--an overview
42,Fastigial nucleus,FN,42,NA,NA,NA,NA
43,Interposed nucleus,IP,43,NA,NA,NA,NA
44,Red nucleus,RN,44,NA,NA,NA,NA
45,Edinger-Westphal nucleus,EW,45,NA,NA,NA,NA
46,Interstitial nucleus of Cajal,INC,46,NA,NA,NA,NA
47,Nucleus of Darkschewitsch,ND,47,NA,NA,NA,NA
48,Midbrain,MB,48,NA,NA,NA,NA
49,Midbrain reticular nucleus,MRN,49,NA,NA,NA,NA
50,"Midbrain reticular nucleus, retrorubral area",RR,50,NA,NA,NA,NA
51,Periaqueductal gray,PAG,51,NA,NA,NA,NA
52,Paraventricular hypothalamic nucleus,PVH,52,NA,NA,NA,NA
53,"Paraventricular hypothalamic nucleus, descending division",PVHd,53,NA,NA,NA,NA
54,Dorsomedial nucleus of the hypothalamus,DMH,54,NA,NA,NA,NA
55,Hypothalamus,HY,55,NA,NA,NA,NA
56,Lateral hypothalamic area,LHA,56,NA,NA,NA,NA
57,Zona incerta,ZI,57,NA,NA,NA,NA
58,Anterior hypothalamic nucleus,AHN,58,NA,NA,NA,NA
59,"Periventricular hypothalamic nucleus, intermediate part",Pvi,59,NA,NA,NA,NA
60,Posterior hypothalamic nucleus,PH,60,NA,NA,NA,NA
61,Ventromedial hypothalamic nucleus,VMH,61,NA,NA,NA,NA
62,Perireunensis nucleus,PR,62,NA,NA,NA,NA
63,"Subparafascicular nucleus, magnocellular part",SPFm,63,NA,NA,NA,NA
64,Thalamus,TH,64,NA,NA,NA,NA
65,Ventral medial nucleus of the thalamus,VM,65,NA,NA,NA,NA
66,Nucleus of reuniens,RE,66,NA,NA,NA,NA
67,"Central amygdalar nucleus, medial part",CEAm,67,NA,NA,NA,NA
68,Substantia innominata,SI,68,NA,NA,NA,NA
